participant,start_time_s,end_time_s,sam_label,block,sam_rating,stimulus,theta_AF3,alpha_AF3,beta_AF3,tbr_AF3,bar_AF3,theta_F7,alpha_F7,beta_F7,tbr_F7,bar_F7,theta_F3,alpha_F3,beta_F3,tbr_F3,bar_F3,theta_FC5,alpha_FC5,beta_FC5,tbr_FC5,bar_FC5,theta_T7,alpha_T7,beta_T7,tbr_T7,bar_T7,theta_P7,alpha_P7,beta_P7,tbr_P7,bar_P7,theta_O1,alpha_O1,beta_O1,tbr_O1,bar_O1,theta_O2,alpha_O2,beta_O2,tbr_O2,bar_O2,theta_P8,alpha_P8,beta_P8,tbr_P8,bar_P8,theta_T8,alpha_T8,beta_T8,tbr_T8,bar_T8,theta_FC6,alpha_FC6,beta_FC6,tbr_FC6,bar_FC6,theta_F4,alpha_F4,beta_F4,tbr_F4,bar_F4,theta_F8,alpha_F8,beta_F8,tbr_F8,bar_F8,theta_AF4,alpha_AF4,beta_AF4,tbr_AF4,bar_AF4
P1,80230.57198179686,80231.57198179686,4,1,Medium-High,target,12776284.15461062,10916549.441913765,8997745.19245068,1.4199428725021268,0.8242297843587926,3633102.9532684037,12222253.833725935,8062615.805509593,0.45061094822175707,0.6596668597457624,15272995.487649957,7415478.319104594,7347006.4274583375,2.0788052438023494,0.990766355358379,11745473.873541683,15021333.736960134,10775146.649903543,1.0900523450088566,0.7173228981252971,5609106.770780288,7712590.483851831,8945403.224181846,0.6270378908820291,1.159844185025927,10809339.825300045,7864177.788817356,6697046.940598944,1.6140457012136937,0.8515889544259745,10184359.031950245,6342018.714040009,12276046.711507695,0.8296122743165615,1.9356686356555348,5703945.940973827,7028350.654713659,10143359.941500647,0.5623329916191423,1.4432062997166861,9884496.046022289,11016402.479389284,9512284.193921603,1.039129597530163,0.8634655652531076,8663633.415380554,10432157.388997981,8427872.041414179,1.0279740096679038,0.807874318528057,9872578.298429357,13975512.818797324,10579990.384817312,0.9331367930727879,0.7570377217633852,9488367.789201707,7947843.154823461,8744488.549152955,1.0850683531538055,1.1002341614965085,4809968.365014422,5319444.969847664,9878373.655927349,0.48691905495276366,1.857030895501536,15450658.16542996,8295165.2808980355,5158046.255875797,2.9954477720763584,0.6218135602136413
P1,80233.2931010804,80234.2931010804,4,1,Medium-High,target,6181168.454083647,6717400.587633108,8742495.640725289,0.7070256261026684,1.301470044353232,13778967.725718917,11204608.87151661,6789582.962062312,2.0294276986835142,0.6059634066586835,13546910.632969497,7631924.260813487,12429754.953560421,1.089877530456791,1.6286528179245234,10171788.832854798,7690410.223458609,5907130.016751484,1.721951066594025,0.7681163741737135,3896646.463737812,5725569.555356038,11609029.834572203,0.33565651215172404,2.0275764222814177,11688052.538765742,9544393.142867506,10716442.87417772,1.090665314600725,1.1227998169989555,6357805.057363701,7760245.8367275465,8069650.944023742,0.7878661792765884,1.039870529079356,14831200.702182999,9997154.379872838,7210673.499989909,2.0568398641546803,0.7212725967808479,10549303.876421409,7715573.035715925,7827456.127168548,1.3477308214868837,1.0145009438618116,7818225.789934315,7909182.676217647,6880947.152884597,1.1362136078398446,0.8699947181110279,14438025.987797005,9217251.911565179,8703766.617502794,1.6588250377443408,0.944290847316639,3397220.52117968,5681770.040596179,8599258.902451713,0.39505968592376106,1.5134823903484498,7528915.965773168,7077471.459602828,5671203.190825198,1.327569426176328,0.8013035761706135,13046299.300884888,13718056.672053736,9846791.668737177,1.324928945364601,0.7177978560765786
P1,80236.02527896389,80237.02527896389,4,1,Medium-High,target,11070361.48395514,10082981.087807298,6224487.818082562,1.7785176559901015,0.6173261423260463,8350778.798301038,7239437.715068094,7570055.394510595,1.103133116351643,1.0456689721570995,10094993.855230745,15114335.335076775,11135059.843161168,0.90659538407697,0.73672176753412,6545492.111542217,9189304.367107254,9479838.917463953,0.6904644866363687,1.0316165989012895,6365825.088342023,14821864.648730874,10608493.002516685,0.6000687455637516,0.715732686401575,9072268.32008945,12603002.789201219,8178833.302081485,1.1092374651749644,0.6489590964059337,8805566.968485875,8645181.407474143,6365755.954742998,1.3832712141477908,0.7363357290848194,8291845.330783677,10694599.7818975,7574895.808628067,1.0946481034549649,0.7082916577626324,11586331.217437888,7221335.40851205,8882658.080507278,1.3043765855249723,1.230057541716864,7713232.946848388,7873754.619540766,11840838.747165652,0.6514093394519631,1.5038363930950474,5878043.152127936,6529954.581656311,6381083.442728155,0.9211669467865239,0.9772018109672067,10270029.3276319,7682966.953667479,5421273.38316698,1.8943942874233712,0.7056223742546653,11522130.984746175,10494431.624228429,8382309.548244005,1.3745771279897347,0.7987387834222311,7465732.182334178,11215766.974967968,11294252.565236878,0.6610204738393503,1.0069977907390621
P1,80238.7499792474,80239.7499792474,4,1,Medium-High,target,9838293.188532257,10412838.708686532,8129459.15681272,1.2102026713901977,0.7807149792909991,9837819.189266002,7003791.828197988,7449067.761486915,1.3206779028282414,1.0635764089241202,6935290.556521814,9694553.15149587,9046702.044019043,0.7666098123687929,0.9331737010099467,9484659.382852703,10955408.788313847,11336906.114209134,0.836617970308944,1.0348227376327783,12027413.498865923,6994104.113354221,9870737.091610864,1.2184919309711955,1.4112939887131695,7555275.210939397,8765892.758030005,8797311.27005711,0.8588164018539212,1.0035841770934655,4926009.5755234165,4343085.340642082,6081352.19145496,0.8100187952352208,1.4002377836204096,8423034.520237075,12830191.804648606,8626869.733529458,0.976372053874866,0.6723882124976331,7243474.317847242,7660221.86352617,7164947.64660493,1.0109598388035006,0.9353446641957633,8467491.714170616,9265764.379618999,10270062.4397046,0.8244829828331762,1.1083880421451962,13545328.392846698,6688909.364978271,8614614.544116613,1.5723661602593162,1.287895241819381,14426788.335450536,11601828.210519494,8525477.79348416,1.6921970457159152,0.7348391683436601,6289986.731805488,12826630.116320845,8340712.0397113,0.7541306667653767,0.6502652656287657,4013276.6517515164,5449062.0530610625,7058020.100993894,0.5686122445565684,1.2952724766694452
P1,80241.47520203092,80242.47520203092,4,1,Medium-High,target,8608490.438461425,10336791.09315201,8048498.385598391,1.069577208820102,0.7786263950841008,12310358.826032648,10764212.327669794,8648567.889238555,1.4233985306804926,0.8034557128724692,7258386.243310404,7951959.589972917,12587554.024788247,0.5766319833874561,1.5829499486718492,7075153.261495467,8587825.370446883,9060823.407862537,0.7808510267793098,1.0550777428525004,12609955.743157672,13339067.330446975,8095274.076148387,1.5576934918499146,0.6068845651352691,5201579.719297883,7851386.684375539,10324903.474700479,0.5037896704839441,1.3150420288491587,7417860.149460017,8166425.876106729,7461077.5353388395,0.9942076213959543,0.9136282687838272,9341259.637344388,12293134.048507882,9181899.17400354,1.0173559369713012,0.7469128000859977,8520642.249540024,9548312.420865402,8147828.350722509,1.0457562288710285,0.8533265347411034,9442729.616639266,8275121.094355621,9686476.1631021,0.974836406722259,1.1705540079297632,7730127.941033542,6366406.573892768,9019071.736023286,0.8570868673943968,1.4166660000962732,5863576.03064622,13720267.226456944,10992887.55299989,0.5333972536675395,0.8012152658223873,6750749.116644063,8206162.468647914,7862440.2386472,0.8586073676542929,0.9581141329684949,5655315.629172292,9208823.40819143,7771701.39251497,0.7276805095238221,0.8439407563839143
P1,80244.2081352144,80245.2081352144,4,1,Medium-High,target,5739798.393510285,5243708.015137289,6081905.805905225,0.9437499653377119,1.1598482959669505,6808115.413996436,7163820.920944663,8284019.037243112,0.8218372487301947,1.1563688049520273,6045187.02705992,5608444.465822224,6838825.7454472855,0.8839510249379138,1.2193801306445997,8051881.740145013,8684447.851453241,9364795.681681942,0.8598032475919297,1.078340942552249,11919769.320920914,12661201.025884554,6874353.906795223,1.7339475800246993,0.5429464308118398,8779307.741388423,7327458.117638779,6635825.28606487,1.3230167104949,0.9056108106699376,13974041.5576782,10970268.375930807,6942045.296068362,2.012957415531763,0.6328054208135399,11742455.824085584,9206794.719655704,11753898.462417971,0.9990264814377141,1.2766547772944719,8613448.184602147,9495001.728534184,7197290.511385898,1.1967626110097862,0.7580083413525611,9199399.04331407,11411117.479212275,9524002.253243737,0.9659173526739652,0.8346248534022798,7875763.379591313,3664198.468503157,7730146.256129297,1.0188375638231366,2.109641800949472,6444341.467781742,12724369.826530943,6881326.028120011,0.9364970416235817,0.5407989646585173,4569135.594408614,7774811.06595993,6910307.321302481,0.6612058454076694,0.8888071057517445,12188311.131770572,7570676.277907232,5995781.599920676,2.0328143926943274,0.7919743732033006
P1,80246.78839979878,80247.78839979878,4,1,Medium-High,target,9901371.7569992,10723293.405764427,8309184.212141235,1.1916177935412104,0.7748724107161462,13532283.222128408,15235572.31008917,7306582.06250035,1.852067506581537,0.47957384952725723,7424463.04639954,7072969.952438863,8532930.026676679,0.8700953861321122,1.2064140077018708,7536499.69165004,5850413.14595688,10113215.115316998,0.745213031238267,1.7286326389284263,6456847.558083472,9205613.17976663,5531281.272417557,1.1673330716847414,0.6008596238406988,7439250.000079068,18691074.851777833,10477033.937750857,0.7100530593180534,0.5605367278679705,8898383.565771105,7990492.436545752,6460338.360269191,1.3773866118988116,0.8085031569170674,11029576.51216017,10240376.069043538,7021155.233630637,1.570906231972994,0.6856345105191455,10498994.749764433,9205080.570197973,9067751.062585277,1.1578388816919174,0.9850811183492181,9759521.308918774,8163450.525995294,6872477.872482994,1.4200877019910587,0.841859438064653,9681112.10406386,6463064.178453257,9857602.512772586,0.9820960108220993,1.5252212016764641,8983705.516088312,10701062.977754327,6484691.418355238,1.3853713209327883,0.6059857260756056,6090468.872554782,9975753.068779841,9543776.577768646,0.6381613005004718,0.9566973552740484,6115320.365426812,13252997.968339961,7240323.565723272,0.8446197617987149,0.5463159039954322
P1,80248.89628548604,80249.89628548604,4,1,Medium-High,nonTarget,7259756.859838138,9146028.64043944,11268402.783428004,0.644257841982253,1.2320541763453947,6650072.528174859,9856386.739216903,9403508.09373702,0.7071905997086321,0.9540522650478034,5884377.609943695,13935480.035671594,10084667.917149717,0.5834974099580295,0.7236684987768852,8007824.663025935,7546871.22345208,6907128.632262654,1.1593565270555433,0.9152307529507843,6433674.321348692,12565225.456732217,6347777.74794774,1.0135317550191045,0.505186140098005,7457657.078235552,8623301.189636389,10135886.949621603,0.7357675865271923,1.175406810770226,7474734.57443614,9252687.095831944,9099162.284563377,0.8214750260160697,0.9834075431624912,9793452.18628417,19293237.444432303,6638364.999507783,1.4752807637137049,0.34407729747935595,8857008.407060876,10769076.616796125,8940612.243476257,0.9906489808372594,0.8302115920999131,5245894.7088782955,3789076.794260078,11114011.511669703,0.4720073128743938,2.9331713541688775,10328086.439038083,9744596.263603747,9444948.505106322,1.0935037320165695,0.9692498539301608,5422722.055537102,4979884.897942072,6718799.986816514,0.8070968128501297,1.3491878074517436,10197022.232997991,6156867.276931456,11427559.093100362,0.8923184863821589,1.8560671489406841,4886867.973688916,10924648.032108458,9466402.72101203,0.51623284131382,0.8665178679614646
P1,80251.00520997329,80252.00520997329,4,1,Medium-High,nonTarget,6244230.286485731,6659880.370200056,7512234.868137882,0.8312080753717885,1.1279834547406777,4549226.956418793,10268409.238915697,7586669.554358513,0.5996342563523515,0.7388359168240197,16844460.150735874,9426216.29545155,6426957.112450203,2.620907508174443,0.681817275458809,12427474.253524914,8027625.301342914,7629700.036691333,1.6288286818303497,0.9504305134190788,7093191.010301474,7866723.276201943,9381546.283915097,0.756079093535245,1.1925608610507157,9207098.777020885,8315095.07628955,10027570.46319205,0.9181784172763633,1.2059477818582753,12413982.965393027,8623366.023752447,7491176.053826079,1.6571474059874285,0.8687067246353881,9317782.653150404,4142191.492078307,9195423.427421836,1.0133065352231283,2.219941652868423,12970079.563064009,12409102.910200713,9266278.345253626,1.39970752871972,0.7467323312820965,6521997.148850068,11355861.47769471,9847880.5703207,0.6622741921247404,0.8672068243931998,9010115.24381754,9409953.426956115,10622585.711661348,0.8482035813489688,1.1288669804923241,7737156.963455585,6192385.873759604,9600347.98488804,0.805924636860527,1.5503471812972385,5214568.690052277,8400850.400895057,7608660.824264319,0.6853464506425115,0.9057012637022633,11784861.969376132,7880346.96792244,7596013.700642443,1.5514534904511048,0.963918686773895
P1,80253.11255346054,80254.11255346054,4,1,Medium-High,target,10046893.220795678,11427336.76524347,7388764.5665066615,1.3597527882182547,0.6465867523025813,5295346.567972724,4254524.567958311,12385301.252323544,0.42755088956591114,2.9110893719123787,8795152.452660443,7374869.497176702,10117998.49545916,0.8692581301141333,1.3719562765595514,6328242.394542231,6960766.352886694,7384510.277711384,0.8569616882574761,1.0608760448695365,8891805.425167307,11288191.591779478,5888450.514724242,1.5100416319935253,0.5216469322696872,8093575.932820176,12020806.368973736,11858807.472556442,0.6824949263701485,0.9865234584565458,7647991.0572046125,6303553.674974326,7224857.544644538,1.0585663468027442,1.146156266318136,8608530.507483944,9711687.489714572,8391325.342573956,1.0258844885691636,0.8640440038315708,7369035.0061732,5208542.724820052,9036178.444022559,0.8155034843349983,1.7348765137248146,14843018.517690359,8546207.337428417,8537052.941572955,1.738658365981215,0.9989288352723003,9465649.31124827,6215561.647684799,12413233.978496972,0.7625449844613658,1.9971218503030554,5700493.201163225,4011662.6125346827,7103304.454593902,0.8025128639216019,1.770663473144326,9760310.359045407,6763833.162947214,9616343.391095702,1.0149710718611622,1.4217298326893621,9993492.803508777,7992328.987054702,10220569.093403324,0.9777824221117873,1.2787973455494308
